Pax,Check In,Check Out,Place,Web,Name Hotel,Price(Rm),Ratings
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Modern 1BR Near Pavillion | Netflix & Fast Wi-Fi,129,8.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Parkland Residence Direct MRT 3Bedroom AsHome07,101,9.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Nurani Enap D'Putrajaya,132,9.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Beautiful luxury sanitized loft suite@KL Sentral,0,8.7
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,One Bukit Ceylon Lumi 6 Pavillion Bukit Bintang ,122,9.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,CYBERJAYA SANITISED|NETFLIX|WiFi|PARKING|NEW .1003,75,9.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Star Holiday Sky Pool KLCC,0,9.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Pacific Tower PJ Section 13 WifiParkingOppJayaOne Mall,105,6.9
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,KLCC Sky Villa Suites Platinum,0,8.8
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Southville Stay @ Savanna Executive Suite,234,9.5
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Alanis Residence Sepang KLIA Kota Warisan,236,7.5
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Comfy Private Home @ Sky.Pod,108,8.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,DanzaStay1@CoreSoHo - nearby KLIA,116,9.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,DUPLEX STUDIO LOFT EMPIRE CITY DAMANSRA PERDANA,0,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Promo Connected Train 2 Bedroom (ABOVE MALL) 28,186,9.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Soho Suites KLCC Family Suites/5-10mins to KLCC,345,9.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"HERITAGE 9 HOMESTAY Studio 4Pax, FREE WIFI",108,8.9
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Ostia Residence - NeeQ Homestay Ostia Bangi,193,9.9
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,1 Hati Homestay Sepang,50,9.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Villa 223,225,9.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Premium Suites at KLCC by Moonlight,159,8.5
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Cozy Suite @ Zetapark Setapak|Above Shopping Mall,140,9.3
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Pacific Place Evolve Mall LRT Pool Parking Netflix Kitchen,129,8.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Alanis Residences KLIA Sepang by TeduhGuestHouse,0,8.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Netizen Cozy Suite by Guestonic,92,9.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Nanas Dorsett 4pax Bukit Bintang Pavilion KL 910,304,9.4
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Mods London City @ Cyberjaya|KLIA+NETFLIX|,78,7.5
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,MODERN HOMESTAY @ SELAYANG RESIDENCE 280,192,9.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Kitakaya Homes Gaia Residence Rawang 912,221,9.9
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,SYG 7 Aura Suite Putrajaya 2 Bilik Tidur,193,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Berjaya Time Square 5paxs Bukit Bintang KL City,192,9.0
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Exclusive Family Suites 5-6 Pax @ Sunway Pyramid,296,8.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Dsara Sentral  FamilyHouse 3mins Hospital Sg Buloh,104,8.8
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Netizen Soho MRT Cheras Wi-Fi TV Box NZ03,0,8.7
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Chambers Residence KLCC Service Suites,0,8.7
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Ekocheras @ Kuala Lumpur,344,8.2
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,SILK SKY Wi-Fi TV Box Balakong Serdang AsHome01,78,8.6
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,NEW # Midvalley MILLERZ SQUARE SUITE KL - Free Parking n WIFI by GOMAIN,127,8.5
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,KLCC view  Studio 3 Towers @ KL City Centre,89,6.7
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Traders Garden 1Bedroom C180 Cheras As Home 15,79,9.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Pacific Towers Star Seksyen 13 PJ Jaya One Parking Netflix Pool Kitchen,130,8.3
