Pax,Check In,Check Out,Place,Web,Name Hotel,Price(Rm),Ratings
"2 travellers, 1 room",2024-10-01,2024-10-03,Kuala Lumpur,Expedia,Hilton Kuala Lumpur,644,9.2
"2 travellers, 1 room",2024-10-01,2024-10-03,Kuala Lumpur,Expedia,Lyf Chinatown Kuala Lumpur,216,8.8
"2 travellers, 1 room",2024-10-01,2024-10-03,Kuala Lumpur,Expedia,Renaissance Kuala Lumpur Hotel & Convention Centre,610,8.6
"2 travellers, 1 room",2024-10-01,2024-10-03,Kuala Lumpur,Expedia,Shangri-La Kuala Lumpur,585,9.2
"2 travellers, 1 room",2024-10-01,2024-10-03,Kuala Lumpur,Expedia,DoubleTree by Hilton Hotel Kuala Lumpur,415,8.8
"2 travellers, 1 room",2024-10-01,2024-10-03,Kuala Lumpur,Expedia,citizenM Kuala Lumpur Bukit Bintang,258,9.6
"2 travellers, 1 room",2024-10-01,2024-10-03,Kuala Lumpur,Expedia,"Mandarin Oriental, Kuala Lumpur",125,9.4
"2 travellers, 1 room",2024-10-01,2024-10-03,Kuala Lumpur,Expedia,Pullman Kuala Lumpur City Centre Hotel & Residences,512,8.4
"2 travellers, 1 room",2024-10-01,2024-10-03,Kuala Lumpur,Expedia,Le Méridien Kuala Lumpur,680,9.4
"2 travellers, 1 room",2024-10-01,2024-10-03,Kuala Lumpur,Expedia,Millerz Square By Just Stay,158,
"2 travellers, 1 room",2024-10-01,2024-10-03,Kuala Lumpur,Expedia,"Holiday Inn Express Kuala Lumpur City Centre, an IHG Hotel",265,8.2
"2 travellers, 1 room",2024-10-01,2024-10-03,Kuala Lumpur,Expedia,Aloft Kuala Lumpur Sentral,485,9.0
"2 travellers, 1 room",2024-10-01,2024-10-03,Kuala Lumpur,Expedia,The St. Regis Kuala Lumpur,369,9.2
"2 travellers, 1 room",2024-10-01,2024-10-03,Kuala Lumpur,Expedia,Verdant Hill Hotel Kuala Lumpur,214,8.8
