Pax,Check In,Check Out,Place,Web,Name Hotel,Price(Rm),Ratings
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Swiss Garden Residence Kuala Lumpur,115.0,7.8
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Sky Suites KLCC by Autumn Suites Premium Stay,160.0,7.5
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Arte Mont Kiara By Awesomestay,118.0,7.2
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Legasi Kampung Baru Guesthouse,168.0,8.7
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Centrestage Petaling Jaya by Perfect Host,70.0,7.9
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,AXON RESIDENCES BUKIT BINTANG by Janice's Homestay,139.0,9.2
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Greystone Colony KLCC,90.0,8.0
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,NJ Homestay 1bedroom Suite @ Arte Mont Kiara,79.0,7.7
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Tropicana The Residence By Klcc,287.0,8.6
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Chrisenbel Suites - Pinnacle PJ,84.0,8.6
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Ginger8 @ Pinnacle PJ,106.0,9.0
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,D'Majestic Place by Widebed,118.0,7.8
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Regalia Residence @ KLCC View Sky Pool by KC,78.0,7.6
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,The Establishment (EST) KL Sentral by Loop Suites,121.0,8.4
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Expressionz Professional Suites  Wodages ,102.0,8.2
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Neu Suites @ 3rdNvenue by Perfect Host,81.0,7.9
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Ceylonz Suites nr Pavilion & KLCC by YourSuperhost,150.0,8.4
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Ceylonz Suites by EdenZpace,154.0,8.5
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Sky Suites KLCC by Luna Suites,187.0,7.3
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Infini Suites@ The Robertson Bukit Bintang,173.0,8.6
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Chambers Premier Suites Kuala Lumpur,120.0,8.8
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Expressionz Suites KLCC,140.0,8.1
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Casa Residency Apartment,72.0,8.1
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Soho Suites KLCC by the Betty Roux,95.0,7.8
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Alanis & Core Suite Klia By Dreamscape,88.0,8.0
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Arte Mont Kiara By The Relax Stay,122.0,8.0
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Infini Suites@ Continew Residence KL,103.0,8.8
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Hotel Primera Suite,180.0,8.4
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Yemala Suites @ Vortex KLCC,190.0,8.1
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,EkoCheras Cozy Suite by GUESTONIC,164.0,8.7
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,The Robertson Bukit Bintang by San Eclipses,194.0,8.6
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,The Perfect Getaway 2.0 @ Tamarind Suites 300mbps,98.0,9.1
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,KL Suite at Times Square,239.0,7.4
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Dorsett Residence Bukit Bintang by De Space,468.0,8.7
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,D'Majestic by Lush Living,86.0,8.4
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,"Park View KLCC ,by DeLive Home",111.0,8.7
