Pax,Check In,Check Out,Place,Web,Ratings,Name Hotel,Price(Rm)
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,AVANI Sepang Goldcoast Resort  ,491.09
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,8,Mercure Kuala Lumpur Shaw Parade Hotel  ,308.79
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,6,AnCasa Hotel Kuala Lumpur  ,230.335
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,6,Cititel Mid Valley  ,276.915
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,6,Holiday Inn Express Kuala Lumpur City Centre  ,307.74
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,"The Gardens - A St Giles Signature Hotel & Residences, Kuala Lumpur  ",511.125
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Shangri-La Hotel Kuala Lumpur  ,712.135
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,InterContinental Kuala Lumpur  ,1209.935
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Four Seasons Hotel Kuala Lumpur  ,1452.29
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,8,Meliá Kuala Lumpur  ,386.91
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,8,Sunway Velocity Hotel Kuala Lumpur  ,410.405
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,8,"Hotel Indigo Kuala Lumpur On The Park, an IHG Hotel  ",583.275
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,8,Sunway Lagoon Hotel  ,824.045
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,"Sunway Putra Hotel, Kuala Lumpur  ",387.725
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Grand Millennium Kuala Lumpur  ,659.17
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,8,"Berjaya Times Square Hotel, Kuala Lumpur  ",448.74
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,8, Ramada Suites Kuala Lumpur City Centre  ,309.365
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,8,Tamu Hotel & Suites Kuala Lumpur  ,318.33
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Grand Ion Delemen Hotel  ,214.145
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Grand Bluewave Hotel Shah Alam  ,331.17
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Dorsett Grand Subang  ,438.595
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,8,Oakwood Hotel & Residence Kuala Lumpur  ,244.485
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Seri Pacific Hotel Kuala Lumpur  ,338.495
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,DoubleTree by Hilton Hotel Kuala Lumpur  ,516.795
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Sofitel Kuala Lumpur Damansara  ,649.88
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,8,Perdana Kuala Lumpur City Centre  ,325.055
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,8,Mövenpick Hotel and Convention Centre KLIA  ,440.52
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Wyndham Grand Bangsar Kuala Lumpur  ,269.07
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Pulse Grande Hotel  ,287.675
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Hotel Equatorial Bangi  ,296.485
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,"Swiss-Garden Hotel & Residences, Genting Highlands  ",302.98
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Scarletz KLCC Apartments By soulasia  ,307.84
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Pacific Regency Hotel Suites  ,322.555
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,DoubleTree by Hilton Putrajaya Lakeside  ,346.595
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,DoubleTree by Hilton Shah Alam i-City  ,374.085
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Dorsett Kuala Lumpur  ,388.22
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Hotel Maya Kuala Lumpur  ,392.71
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,PARKROYAL Serviced Suites Kuala Lumpur  ,403.7
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,The Saujana Hotel Kuala Lumpur  ,407.285
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Hilton Petaling Jaya  ,409.33
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Zenith Putrajaya   ,410.025
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,E&O Residences Kuala Lumpur  ,435.145
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,The Royale Chulan Hotel Kuala Lumpur  ,457.43
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Alila Bangsar Kuala Lumpur  ,503.915
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,One World Hotel  ,536.59
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,THE FACE Suites  ,551.055
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,The Chateau Spa & Organic Wellness Resort  ,556.205
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,PARKROYAL COLLECTION Kuala Lumpur  ,584.87
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Hotel Royal Signature  ,592.06
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Wyndham Suites KLCC  ,652.81
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,"Crowne Plaza Kuala Lumpur City Centre, an IHG Hotel  ",697.925
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Sama Sama Hotel KLIA  ,712.8
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Hilton Kuala Lumpur  ,716.41
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Ascott Kuala Lumpur  ,850.54
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Pan Pacific Serviced Suites Kuala Lumpur  ,855.515
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,"Traders Hotel, Kuala Lumpur  ",941.83
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Ascott Star KLCC  ,976.745
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Grand Hyatt Kuala Lumpur  ,978.98
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Sunway Resort Hotel  ,1080.0
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,"Mandarin Oriental, Kuala Lumpur  ",1390.255
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,Banyan Tree Kuala Lumpur  ,1557.04
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,10,New World Petaling Jaya Hotel   ,657.725
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,8,"Hotel Maison Boutique, Kuala Lumpur  ",76.89
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,8,KIP Hotel  ,179.42
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,8,Acappella Suite Hotel  ,189.095
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,8,MOV Hotel  ,194.035
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,8,Stay with Bintang  ,218.175
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,8,Metro 360 Hotel Kuala Lumpur  ,230.165
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,8,Qliq Damansara  ,239.63
2,2024-10-01,2024-10-03, Kuala Lumpur,MHHolidays,6,Park Inn by Radisson Putrajaya  ,250.95
