Pax,Check In,Check Out,Place,Web,Name Hotel,Price(Rm),Ratings
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Sky Suites KLCC by Autumn Suites Premium Stay,160,7.6
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Soho suites KLCC by Homestay,0,7.8
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Swiss Garden Residence Kuala Lumpur,112,7.7
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Eaton Residences KLCC by Luna,0,8.7
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Tropicana The Residence By Klcc,365,8.6
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Regalia Residence @ KLCC View Sky Pool by KC,78,7.6
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Arte Mont Kiara By Awesomestay,117,7.2
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Expressionz Professional Suites  Wodages ,110,8.2
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Greystone One Bukit Ceylon ,94,7.9
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Casa Residency Apartment,73,8.1
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Yemala Suites @ Vortex KLCC,238,8.1
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Alanis & Core Suite Klia By Dreamscape,90,8.0
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Legasi Kampung Baru Guesthouse,122,8.7
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Eaton Residence KLCC @ infinity Pool View,0,8.8
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,Ceylonz Suites nr Pavilion & KLCC by YourSuperhost,123,8.4
"1 adult,1 child1 room",2024-10-01,2024-10-03,Kuala Lumpur,Agoda,EkoCheras Cozy Suite by GUESTONIC,108,8.7
