Pax,Check In,Check Out,Place,Web,Name Hotel,Price(Rm),Ratings
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Chambers Residence KLCC By Purple Orchid,0,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Homey Private Home @ Sky.Pod,99,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,KL | One Bukit Ceylon Bukit Bintang [1810],86,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Parkview KLCC Service Apartment,0,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Arte Cheras by Minsu,382,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,LUCENTIA RESIDENCE By LALAPORT,0,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Maxhome@2 bedroom Dorsett Residence 98 ,181,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Entire Unit Pacific 63 JayaonePJ Pool Balcony,95,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"Studio B, Empire Damansara",124,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Vista Bangi/ Jalan Reko / UKM / KAJANG 17 AsHomeA,74,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Arte Cheras Kuala Lumpur by Loop Suites,281,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,HB1817 | SANITIZED | NETFLIX-LAKEVIEW-WIFI-PARKING,75,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,NEW! Cozy 4BR Condo nr EkoCheras | 8Pax 中文房东,120,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Cybersqaure Studio Suites with Wifi,0,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Platinum Suites KLCC Kuala Lumpur Bukit Bintang by AR Hospitality,0,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,I Dream Home @ Symphony Tower 漂亮的夜景和4星级的环境,70,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Bella Homestay by AK Group,83,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"1-5 Guests, Spacious & Comfy Duplex-Studio, Empire City Damansara by Flexihome-MY",148,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,The Platinum Suite Kuala Lumpur By HomeSuites,0,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Short Stays Condominium,177,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Shaftsbury Putrajaya 2BILIK by CikYatie,346,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,Parkland Residence Direct MRT 3Bedroom AsHome08,101,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,ER Homestay for Family Transit Nearby KLIA,272,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,"KL City Centre,5 min to MRT,TRX/B.Bintang2, 7 pax",0,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,A Lux & Modern High-Floor 3BR Apt @ Bukit Bintang,315,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,TA Suite Conezion iOi,172,8.1
"1 adult,1 child1 room",2024-10-27,2024-10-29,Kuala Lumpur,Agoda,The Signature Hotel Suites Mont Kiara Kuala Lumpur,236,8.1
