Pax,Check In,Check Out,Place,Web,Name Hotel,Price(Rm),Ratings
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,0,,
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Hilton Kuala Lumpur,564,9.2
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,DoubleTree by Hilton Hotel Kuala Lumpur,320,8.8
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Lyf Chinatown Kuala Lumpur,216,8.8
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Shangri-La Kuala Lumpur,540,9.2
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,DoubleTree by Hilton Hotel Kuala Lumpur,320,8.8
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,"Mandarin Oriental, Kuala Lumpur",834,9.4
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Oasia Suites Kuala Lumpur,210,8.6
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Traders Hotel Kuala Lumpur,511,9.0
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Renaissance Kuala Lumpur Hotel & Convention Centre,540,8.6
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Millerz Square By Just Stay,148,
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Aloft Kuala Lumpur Sentral,405,9.0
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,citizenM Kuala Lumpur Bukit Bintang,237,9.6
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,The St. Regis Kuala Lumpur,164,9.2
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,"Holiday Inn Express Kuala Lumpur City Centre, an IHG Hotel",227,8.2
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,"InterContinental Kuala Lumpur, an IHG Hotel",577,9.0
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Pullman Kuala Lumpur City Centre Hotel & Residences,512,8.4
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Grand Millennium Hotel Kuala Lumpur,430,8.4
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Hilton Kuala Lumpur,564,9.2
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,"The Ritz-Carlton, Kuala Lumpur",700,8.8
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,"Four Points by Sheraton Kuala Lumpur, Chinatown",360,9.4
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Lanson Place Bukit Ceylon,373,9.4
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,"Four Points By Sheraton Kuala Lumpur, City Centre",500,9.0
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Millerz Square by Five Senses,126,0
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,"The Majestic Hotel Kuala Lumpur, Autograph Collection",484,9.2
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,JW Marriott Kuala Lumpur,630,8.8
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Ibis Kuala Lumpur City Centre Hotel,222,8.6
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,The Face Suites Kuala Lumpur,417,8.8
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Corus Hotel Kuala Lumpur,285,8.0
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,EQ Kuala Lumpur,891,9.6
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,"Four Points By Sheraton Kuala Lumpur, City Centre",500,9.0
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,W Kuala Lumpur,244,9.2
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Novotel Kuala Lumpur City Centre,329,7.6
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Grand Hyatt Kuala Lumpur,805,9.4
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,The Manor Serviced Residence by Canopy Lives,243,9.0
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Komune Living,136,8.4
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,"Hyatt House Kuala Lumpur, Mont Kiara",402,8.8
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Cititel Mid Valley,274,8.4
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Seri Pacific Hotel Kuala Lumpur,293,8.4
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,V E Hotel & Residence,260,8.8
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,"Hotel Stripes Kuala Lumpur, Autograph Collection",361,9.2
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Hotel Maya Kuala Lumpur City Center,289,7.8
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Sunway Putra Hotel Kuala Lumpur,264,8.6
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Hilton Garden Inn Kuala Lumpur Jalan Tuanku Abdul Rahman South,152,8.0
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Le Méridien Kuala Lumpur,545,9.4
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Dorsett Hartamas Kuala Lumpur,189,7.8
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia, Travelodge Chinatown Kuala Lumpur,194,7.8
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,The 5 Elements Hotel,151,7.8
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Royal Suites at Platinum Kuala Lumpur Bukit Bintang KLCC,239,8.2
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Fairfield by Marriott Chow Kit Kuala Lumpur,205,8.2
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,The Westin Kuala Lumpur,550,8.6
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Somerset Kuala Lumpur,297,9.0
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Four Seasons Hotel Kuala Lumpur,520,9.4
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Oakwood Hotel & Residence Kuala Lumpur,239,8.8
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Dorsett Kuala Lumpur,332,8.0
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,The St. Regis Kuala Lumpur,164,9.2
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Sunbow Suites,189,8.6
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,PARKROYAL COLLECTION Kuala Lumpur,576,8.6
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,"The Ritz-Carlton, Kuala Lumpur",700,8.8
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,"The Majestic Hotel Kuala Lumpur, Autograph Collection",484,9.2
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,The Westin Kuala Lumpur,550,8.6
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,The Gardens – A St. Giles Hotel & Residences,389,8.6
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Hilton Garden Inn Kuala Lumpur Jalan Tuanku Abdul Rahman North,155,8.0
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Hotel Royal Signature,298,8.2
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,KIP Hotel Kuala Lumpur,141,7.6
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Verdant Hill Hotel Kuala Lumpur,252,8.8
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Mercure Kuala Lumpur Shaw Parade,271,8.8
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,"Hotel Indigo Kuala Lumpur On The Park, an IHG Hotel",472,9.2
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Renaissance Kuala Lumpur Hotel & Convention Centre,540,8.6
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Space Hotel,109,9.0
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Hyatt Place Kuala Lumpur Bukit Jalil,323,9.6
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Courtyard by Marriott Kuala Lumpur South,350,9.2
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Element Kuala Lumpur,480,9.2
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,UNA Sunway Velocity by Unimax,214,9.8
"2 travellers, 1 room",2024-09-29,2024-10-01,Kuala Lumpur,Expedia,Ceylonz Seasonal Suites,210,9.0
