Pax,Check In,Check Out,Place,Web,Ratings,Name Hotel,Price(Rm)
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,10,AVANI Sepang Goldcoast Resort  ,509.02
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Mercure Kuala Lumpur Shaw Parade Hotel  ,298.685
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,6,AnCasa Hotel Kuala Lumpur  ,208.685
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,6,Cititel Mid Valley  ,252.49
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,6,Holiday Inn Express Kuala Lumpur City Centre  ,260.13
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,10,"The Gardens - A St Giles Signature Hotel & Residences, Kuala Lumpur  ",414.8
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,10,Shangri-La Hotel Kuala Lumpur  ,647.395
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,10,InterContinental Kuala Lumpur  ,681.555
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,10,Four Seasons Hotel Kuala Lumpur  ,1714.44
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Meliá Kuala Lumpur  ,333.6
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Sunway Velocity Hotel Kuala Lumpur  ,394.425
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,"Hotel Indigo Kuala Lumpur On The Park, an IHG Hotel  ",541.05
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Sunway Lagoon Hotel  ,810.005
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,10,"Sunway Putra Hotel, Kuala Lumpur  ",322.92
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,10,Grand Millennium Kuala Lumpur  ,500.35
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,"Berjaya Times Square Hotel, Kuala Lumpur  ",438.405
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8, Ramada Suites Kuala Lumpur City Centre  ,306.97
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Tamu Hotel & Suites Kuala Lumpur  ,402.89
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,10,Grand Ion Delemen Hotel  ,218.615
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,10,Dorsett Grand Subang  ,344.415
2,2024-09-29,2024-10-01, Kuala Lumpur,MHHolidays,8,Oakwood Hotel & Residence Kuala Lumpur  ,240.19
